n,Dynamic Programming Memoization,,,,,,,,Dynamic Programming Tabulation,,,,,,,
,Computation 1,Retrieval 1,Computation 2,Retrieval 2,Computation 3,Retrieval 3,Average Computation,Average Retrieval,Computation 1,Retrieval 1,Computation 2,Retrieval 2,Computation 3,Retrieval 3,Average Computation,Average Retrieval
20000,17761242,4426217,17840959,4478042,17849787,4507010,17817329,4470423,20000000,25737528,20000000,25772213,20000000,25808624,20000000,25772788
20100,17834386,4438252,17956537,4511757,17923666,4528175,17904863,4492728,20100000,25860050,20100000,25908371,20100000,25934077,20100000,25900832
20200,17943276,4458671,18030897,4533196,18036296,4557232,18003489,4516366,20200000,25989690,20200000,26041098,20200000,26069664,20200000,26033484
20300,18065643,4492768,18115571,4556792,18105490,4573173,18095568,4540911,20300000,26119501,20300000,26170609,20300000,26199022,20300000,26163044
20400,18176679,4524195,18211993,4583295,18207173,4599919,18198615,4569136,20400000,26252258,20400000,26300872,20400000,26329428,20400000,26294186
20500,18252277,4544284,18295845,4602613,18274870,4617888,18274330,4588261,20500000,26383454,20500000,26434340,20500000,26454231,20500000,26424008
20600,18351787,4571975,18390117,4631393,18365551,4641032,18369151,4614800,20600000,26512215,20600000,26564491,20600000,26583877,20600000,26553527
20700,18425859,4588695,18470761,4649781,18456912,4661995,18451177,4633490,20700000,26640320,20700000,26696319,20700000,26711528,20700000,26682722
20800,18531479,4617298,18559886,4674950,18555160,4687199,18548841,4659815,20800000,26770189,20800000,26828109,20800000,26844328,20800000,26814208
20900,18612049,4638375,18660226,4704663,18641968,4711381,18638081,4684806,20900000,26899161,20900000,26953019,20900000,26977476,20900000,26943218
21000,18711389,4662398,18743917,4725014,18739857,4742669,18731721,4710027,21000000,27028125,21000000,27084786,21000000,27112039,21000000,27074983
21100,18801860,4687235,18815180,4740196,18830197,4773187,18815745,4733539,21100000,27156549,21100000,27212385,21100000,27241505,21100000,27203479
21200,18891179,4711135,18913572,4763777,18926299,4795910,18910350,4756940,21200000,27288518,21200000,27341301,21200000,27373311,21200000,27334376
21300,18970129,4729937,18996362,4785073,19022042,4824214,18996177,4779741,21300000,27413793,21300000,27465899,21300000,27508918,21300000,27462870
21400,19073114,4759694,19097067,4811749,19089682,4841699,19086621,4804380,21400000,27544221,21400000,27594900,21400000,27633723,21400000,27590948
21500,19177857,4789055,19201735,4834711,19197969,4869018,19192520,4830928,21500000,27673229,21500000,27723326,21500000,27762469,21500000,27719674
21600,19271959,4815977,19274348,4852121,19301489,4895109,19282598,4854402,21600000,27808530,21600000,27850649,21600000,27893946,21600000,27851041
21700,19350195,4834974,19350673,4867603,19378032,4921619,19359633,4874732,21700000,27935837,21700000,27976447,21700000,28024148,21700000,27978810
21800,19442538,4861799,19462678,4900133,19453110,4937976,19452775,4899969,21800000,28063697,21800000,28106538,21800000,28150388,21800000,28106874
21900,19507348,4874858,19580103,4933438,19579986,4975094,19555812,4927796,21900000,28189804,21900000,28235279,21900000,28282090,21900000,28235724
22000,19591237,4892204,19650202,4949944,19658763,4994339,19633400,4945495,22000000,28314688,22000000,28364646,22000000,28407131,22000000,28362155
22100,19676439,4909287,19729046,4967931,19778846,5028170,19728110,4968462,22100000,28440622,22100000,28490582,22100000,28539299,22100000,28490167
22200,19789145,4935591,19845428,5000593,19861008,5050692,19831860,4995625,22200000,28568834,22200000,28619065,22200000,28671331,22200000,28619743
22300,19874560,4957015,19934986,5022796,19931318,5067882,19913621,5015897,22300000,28698826,22300000,28753695,22300000,28798487,22300000,28750336
22400,19982640,4989117,20046580,5058383,20000955,5081412,20010058,5042970,22400000,28827469,22400000,28886781,22400000,28928569,22400000,28880939
22500,20060222,5005340,20096988,5069380,20065732,5094181,20074314,5056300,22500000,28956420,22500000,29011036,22500000,29053480,22500000,29006978
22600,20157744,5031025,20161908,5082129,20171246,5117981,20163632,5077045,22600000,29084933,22600000,29132657,22600000,29183919,22600000,29133836
22700,20261275,5059323,20261513,5099288,20262339,5139797,20261709,5099469,22700000,29211522,22700000,29259165,22700000,29310662,22700000,29260449
22800,20340477,5079013,20364990,5123230,20356490,5165611,20353985,5122618,22800000,29343851,22800000,29387033,22800000,29437777,22800000,29389553
22900,20390762,5089482,20446671,5143124,20435795,5181592,20424409,5138066,22900000,29465890,22900000,29520408,22900000,29566327,22900000,29517541
23000,20505150,5111784,20523273,5162308,20529541,5204773,20519321,5159621,23000000,29592771,23000000,29643585,23000000,29698467,23000000,29644941
23100,20603166,5135791,20621657,5186148,20590568,5218269,20605130,5180069,23100000,29723067,23100000,29769281,23100000,29822584,23100000,29771644
23200,20702364,5162491,20708272,5204354,20704730,5247952,20705122,5204932,23200000,29852625,23200000,29897721,23200000,29949559,23200000,29899968
23300,20797582,5189819,20794505,5222125,20772378,5260903,20788155,5224282,23300000,29980620,23300000,30026088,23300000,30076272,23300000,30027660
23400,20851219,5201105,20884440,5246947,20847197,5275275,20860952,5241109,23400000,30105988,23400000,30153792,23400000,30202181,23400000,30153987
23500,20982440,5234501,20970205,5265486,20943880,5295557,20965508,5265181,23500000,30239561,23500000,30281845,23500000,30330484,23500000,30283963
23600,21060393,5255164,21066622,5287545,21050149,5324388,21059054,5289032,23600000,30369981,23600000,30409998,23600000,30463047,23600000,30414342
23700,21146002,5275088,21148576,5306548,21173390,5363974,21155989,5315203,23700000,30496602,23700000,30536268,23700000,30599308,23700000,30544059
23800,21263211,5307655,21255168,5335104,21234445,5380748,21250941,5341169,23800000,30623588,23800000,30660244,23800000,30725238,23800000,30669690
23900,21378146,5344478,21356464,5362397,21328676,5403105,21354428,5369993,23900000,30756603,23900000,30786263,23900000,30854625,23900000,30799163
24000,21432177,5356404,21428971,5377860,21408697,5421269,21423281,5385177,24000000,30879949,24000000,30914054,24000000,30979211,24000000,30924404
24100,21502920,5368948,21511790,5396770,21506599,5442353,21507103,5402690,24100000,31001912,24100000,31037032,24100000,31105563,24100000,31048169
24200,21586624,5384819,21605610,5417223,21578923,5458568,21590385,5420203,24200000,31126698,24200000,31167140,24200000,31229866,24200000,31174568
24300,21685596,5404849,21691722,5438156,21709638,5495899,21695652,5446301,24300000,31257651,24300000,31293944,24300000,31362660,24300000,31304751
24400,21759058,5421167,21772134,5453982,21799871,5519601,21777021,5464916,24400000,31387714,24400000,31419976,24400000,31493398,24400000,31433696
24500,21877048,5452473,21912479,5492237,21899167,5546241,21896231,5496983,24500000,31518662,24500000,31551524,24500000,31625515,24500000,31565233
24600,21956212,5472368,21982473,5512467,21989000,5572740,21975895,5519191,24600000,31645540,24600000,31679120,24600000,31757597,24600000,31694085
24700,22040462,5493908,22061792,5529877,22091383,5605860,22064545,5543215,24700000,31772805,24700000,31805000,24700000,31892790,24700000,31823531
24800,22155330,5524608,22153998,5549263,22191057,5638069,22166795,5570646,24800000,31905573,24800000,31933283,24800000,32025163,24800000,31954673
24900,22244832,5549845,22265404,5578181,22275957,5663654,22262064,5597226,24900000,32038180,24900000,32061496,24900000,32150845,24900000,32083507
25000,22333992,5574975,22343240,5595316,22361215,5682213,22346149,5617501,25000000,32173209,25000000,32190392,25000000,32281084,25000000,32214895
25100,22403974,5591611,22440029,5621677,22414918,5692207,22419640,5635165,25100000,32300532,25100000,32320681,25100000,32401923,25100000,32341045
25200,22458878,5603211,22534275,5648763,22503938,5710767,22499030,5654247,25200000,32421157,25200000,32448911,25200000,32528934,25200000,32466334
25300,22568867,5627648,22605591,5667025,22637953,5743150,22604137,5679274,25300000,32548640,25300000,32576670,25300000,32660457,25300000,32595255
25400,22654262,5644937,22715668,5693753,22682868,5755486,22684266,5698058,25400000,32677258,25400000,32707980,25400000,32785774,25400000,32723670
25500,22738584,5666407,22785927,5712584,22775237,5771816,22766582,5716935,25500000,32803614,25500000,32831763,25500000,32913624,25500000,32849667
25600,22805398,5677119,22890799,5735572,22879474,5798645,22858557,5737112,25600000,32922787,25600000,32961827,25600000,33041572,25600000,32975395
25700,22926079,5706556,22975925,5756083,22974135,5824004,22958713,5762214,25700000,33047259,25700000,33092608,25700000,33172475,25700000,33104114
25800,23042450,5736315,23074930,5781329,23069852,5851059,23062410,5789567,25800000,33177293,25800000,33223715,25800000,33304883,25800000,33235297
25900,23145634,5766420,23175259,5809453,23133763,5866614,23151552,5814162,25900000,33311940,25900000,33354691,25900000,33430689,25900000,33365773
26000,23235427,5791103,23261592,5833568,23262724,5899266,23253247,5841312,26000000,33442672,26000000,33484687,26000000,33561247,26000000,33496202
26100,23304465,5811038,23363711,5866151,23348768,5925183,23338981,5867457,26100000,33565759,26100000,33616285,26100000,33691575,26100000,33624539
26200,23424177,5838759,23432788,5881377,23447717,5948956,23434894,5889697,26200000,33694751,26200000,33744879,26200000,33825792,26200000,33755140
26300,23487739,5854816,23534671,5903596,23546033,5982005,23522814,5913472,26300000,33816501,26300000,33872964,26300000,33956499,26300000,33881988
26400,23599694,5882531,23627486,5928192,23632967,6005431,23620049,5938718,26400000,33945524,26400000,34000679,26400000,34085694,26400000,34010632
26500,23683098,5900225,23705810,5948355,23732294,6033153,23707067,5960577,26500000,34070889,26500000,34125881,26500000,34216545,26500000,34137771
26600,23768774,5917929,23769062,5960535,23776540,6042177,23771458,5973547,26600000,34198949,26600000,34254519,26600000,34337908,26600000,34263792
26700,23880995,5951449,23874417,5983567,23871081,6058994,23875497,5998003,26700000,34331090,26700000,34385986,26700000,34468202,26700000,34395092
26800,23978489,5979042,23954846,6002766,23969142,6084141,23967492,6021983,26800000,34460612,26800000,34512425,26800000,34595853,26800000,34522963
26900,24083681,6005723,24025090,6016547,24071373,6115404,24060048,6045891,26900000,34592563,26900000,34634968,26900000,34727125,26900000,34651552
27000,24145869,6022850,24125834,6036797,24139873,6127204,24137192,6062283,27000000,34721525,27000000,34760849,27000000,34857752,27000000,34780042
27100,24219463,6037814,24238065,6068477,24223240,6148487,24226922,6084926,27100000,34847503,27100000,34891378,27100000,34983263,27100000,34907381
27200,24296007,6054416,24329914,6092562,24304465,6167609,24310128,6104862,27200000,34973163,27200000,35020962,27200000,35113029,27200000,35035718
27300,24387603,6073124,24395986,6105880,24379818,6181259,24387802,6120087,27300000,35098608,27300000,35147979,27300000,35240907,27300000,35162498
27400,24511462,6107951,24493560,6131363,24525517,6226425,24510179,6155246,27400000,35230884,27400000,35274502,27400000,35375933,27400000,35293773
27500,24603363,6131372,24612243,6162914,24593721,6244921,24603109,6179735,27500000,35362587,27500000,35408689,27500000,35506994,27500000,35426090
27600,24698615,6159476,24690005,6184272,24670275,6263283,24686298,6202343,27600000,35492142,27600000,35537767,27600000,35635983,27600000,35555297
27700,24791981,6182952,24755149,6199493,24760483,6288510,24769204,6223651,27700000,35621291,27700000,35662622,27700000,35764907,27700000,35682940
27800,24857259,6198141,24892567,6234886,24855168,6310724,24868331,6247917,27800000,35750165,27800000,35794763,27800000,35893404,27800000,35812777
27900,24974894,6228363,24958296,6251736,24923335,6328731,24952175,6269610,27900000,35880632,27900000,35919428,27900000,36018082,27900000,35939380
28000,25051758,6246745,25024463,6265006,25032919,6355285,25036380,6289012,28000000,36002910,28000000,36047395,28000000,36146780,28000000,36065695
28100,25129571,6263202,25126128,6286580,25149073,6386524,25134924,6312102,28100000,36130175,28100000,36172456,28100000,36280790,28100000,36194473
28200,25196790,6275379,25199040,6300301,25211571,6401225,25202467,6325635,28200000,36254382,28200000,36296971,28200000,36413279,28200000,36321544
28300,25295548,6296699,25317939,6331075,25291019,6418331,25301502,6348701,28300000,36389069,28300000,36424228,28300000,36541796,28300000,36451697
28400,25394696,6324741,25408419,6351807,25371311,6441318,25391475,6372622,28400000,36517836,28400000,36552859,28400000,36666701,28400000,36579132
28500,25492678,6353577,25474486,6365696,25454288,6459182,25473817,6392818,28500000,36647580,28500000,36681789,28500000,36794754,28500000,36708041
28600,25569903,6372942,25582484,6394157,25528123,6474768,25560170,6413955,28600000,36776555,28600000,36811457,28600000,36922158,28600000,36836723
28700,25689584,6406318,25681256,6421273,25651755,6508751,25674198,6445447,28700000,36908455,28700000,36940654,28700000,37049675,28700000,36966261
28800,25760457,6423029,25740093,6434134,25760797,6538042,25753782,6465068,28800000,37034925,28800000,37066205,28800000,37182235,28800000,37094455
28900,25864891,6446828,25899313,6484139,25850367,6563946,25871523,6498304,28900000,37160166,28900000,37203428,28900000,37313910,28900000,37225834
29000,25929024,6462500,25968332,6505630,25960470,6598193,25952608,6522107,29000000,37285503,29000000,37332643,29000000,37445162,29000000,37354436
29100,26054908,6493402,26063101,6528727,26056912,6623564,26058307,6548564,29100000,37419131,29100000,37461411,29100000,37578756,29100000,37486432
29200,26130164,6516317,26139993,6548736,26128346,6643841,26132834,6569631,29200000,37546083,29200000,37588108,29200000,37706013,29200000,37613401
29300,26230474,6539507,26233069,6568124,26207901,6662388,26223814,6590006,29300000,37671109,29300000,37714606,29300000,37836835,29300000,37740850
29400,26329868,6566594,26313887,6584566,26271588,6675039,26305114,6608733,29400000,37800309,29400000,37843474,29400000,37962002,29400000,37868595
29500,26417886,6589784,26391032,6602843,26367849,6696798,26392255,6629808,29500000,37929817,29500000,37967114,29500000,38086379,29500000,37994436
29600,26503965,6610804,26491696,6626226,26467734,6720885,26487798,6652638,29600000,38060630,29600000,38094463,29600000,38214610,29600000,38123234
29700,26580561,6628930,26582533,6648987,26533956,6733558,26565683,6670491,29700000,38183651,29700000,38217448,29700000,38340701,29700000,38247266
29800,26686384,6657439,26705816,6680451,26648719,6763719,26680306,6700536,29800000,38316917,29800000,38348719,29800000,38470938,29800000,38378858
29900,26767926,6676571,26791849,6699763,26728663,6783815,26762812,6720049,29900000,38443532,29900000,38478736,29900000,38600437,29900000,38507568
30000,26869464,6703255,26861013,6720283,26784154,6794521,26838210,6739353,30000000,38572573,30000000,38605722,30000000,38725593,30000000,38634629
30100,26958672,6724573,26962835,6744435,26887341,6817741,26936282,6762249,30100000,38704382,30100000,38737744,30100000,38849525,30100000,38763883
30200,27038428,6745557,27069795,6778066,27028449,6856578,27045557,6793400,30200000,38831367,30200000,38873510,30200000,38978154,30200000,38894343
30300,27151913,6776852,27128698,6792210,27127966,6885657,27136192,6818239,30300000,38964412,30300000,38997568,30300000,39111202,30300000,39024394
30400,27211858,6790599,27230569,6818134,27200458,6905068,27214295,6837933,30400000,39091688,30400000,39129481,30400000,39241018,30400000,39154062
30500,27323199,6820084,27301990,6833242,27305819,6935895,27310336,6863073,30500000,39224961,30500000,39257559,30500000,39373240,30500000,39285253
30600,27407636,6842006,27409324,6860026,27369025,6949025,27395328,6883685,30600000,39351847,30600000,39389852,30600000,39500332,30600000,39414010
30700,27487838,6859657,27480004,6875763,27459003,6971455,27475615,6902291,30700000,39483507,30700000,39517109,30700000,39629816,30700000,39543477
30800,27547917,6872470,27544607,6890106,27547551,6993148,27546691,6918574,30800000,39611150,30800000,39640785,30800000,39758571,30800000,39670168
30900,27656071,6899554,27679054,6926445,27650508,7020892,27661877,6948963,30900000,39743911,30900000,39772386,30900000,39887284,30900000,39801193
31000,27738274,6921508,27771686,6953257,27754184,7052116,27754714,6975627,31000000,39873923,31000000,39904030,31000000,40018583,31000000,39932178
31100,27888140,6972776,27868696,6978970,27854686,7079562,27870507,7010436,31100000,40008226,31100000,40034231,31100000,40150001,31100000,40064152
31200,27959467,6993882,27940446,6998144,27946080,7104805,27948664,7032277,31200000,40136655,31200000,40160409,31200000,40282841,31200000,40193301
31300,28080529,7029491,28045866,7023832,28011240,7118679,28045878,7057334,31300000,40270666,31300000,40293383,31300000,40408766,31300000,40324271
31400,28149520,7047850,28124550,7045224,28092268,7138600,28122112,7077224,31400000,40402361,31400000,40422966,31400000,40535115,31400000,40453480
31500,28253360,7077856,28190161,7059449,28202629,7166959,28215383,7101421,31500000,40534656,31500000,40547627,31500000,40667541,31500000,40583274
31600,28328590,7094932,28281056,7078885,28305866,7196699,28305170,7123505,31600000,40664013,31600000,40672679,31600000,40797538,31600000,40711410
31700,28402086,7113524,28369068,7097365,28393286,7219412,28388146,7143433,31700000,40792832,31700000,40802322,31700000,40929199,31700000,40841451
31800,28477355,7130047,28446809,7113775,28485574,7243963,28469912,7162595,31800000,40919055,31800000,40927307,31800000,41059198,31800000,40968520
31900,28575428,7157219,28535843,7135034,28552396,7261045,28554555,7184432,31900000,41047629,31900000,41058213,31900000,41187433,31900000,41097758
32000,28662671,7179235,28650166,7166327,28648335,7283895,28653724,7209819,32000000,41173604,32000000,41190033,32000000,41315433,32000000,41226356
32100,28762165,7201874,28715725,7182653,28729275,7302644,28735721,7229057,32100000,41297118,32100000,41318927,32100000,41442713,32100000,41352919
32200,28859940,7224702,28828994,7216801,28821743,7327739,28836892,7256414,32200000,41425164,32200000,41449292,32200000,41569671,32200000,41481375
32300,28957018,7251628,28903374,7235888,28918841,7348946,28926411,7278820,32300000,41556531,32300000,41580582,32300000,41695615,32300000,41610909
32400,29029658,7268194,28997464,7259016,29005985,7370614,29011035,7299274,32400000,41685831,32400000,41707713,32400000,41821799,32400000,41738447
32500,29106671,7282881,29075060,7276081,29104432,7392846,29095387,7317269,32500000,41815106,32500000,41831711,32500000,41951081,32500000,41865966
32600,29175925,7297424,29166584,7297101,29194670,7416614,29179059,7337046,32600000,41939892,32600000,41958937,32600000,42083855,32600000,41994228
32700,29274083,7319961,29288030,7332019,29254044,7429269,29272052,7360416,32700000,42066505,32700000,42092681,32700000,42210948,32700000,42123378
32800,29345990,7333721,29397581,7365836,29337435,7445403,29360335,7381653,32800000,42193416,32800000,42228216,32800000,42340561,32800000,42254064
32900,29433950,7353074,29480063,7389891,29384802,7452963,29432938,7398642,32900000,42316664,32900000,42355972,32900000,42463184,32900000,42378606
33000,29536106,7376287,29579180,7415473,29527155,7493093,29547480,7428284,33000000,42445592,33000000,42482574,33000000,42596985,33000000,42508383
33100,29619545,7395661,29648038,7427817,29614614,7519251,29627399,7447576,33100000,42574842,33100000,42610031,33100000,42724549,33100000,42636474
33200,29709039,7416911,29740872,7451883,29681117,7530656,29710342,7466483,33200000,42701038,33200000,42736089,33200000,42847878,33200000,42761668
33300,29809907,7440969,29843286,7480020,29789233,7553456,29814142,7491481,33300000,42830745,33300000,42863730,33300000,42973642,33300000,42889372
33400,29887748,7459907,29906864,7494429,29866279,7571912,29886963,7508749,33400000,42955026,33400000,42987407,33400000,43099154,33400000,43013862
33500,29997855,7488964,30011096,7516132,29989357,7601801,29999436,7535632,33500000,43092745,33500000,43112663,33500000,43226750,33500000,43144052
33600,30074383,7508530,30096488,7535711,30097229,7636718,30089366,7560319,33600000,43222659,33600000,43243103,33600000,43361002,33600000,43275588
33700,30208675,7554010,30207332,7565768,30189737,7661377,30201914,7593718,33700000,43357228,33700000,43377215,33700000,43492693,33700000,43409045
33800,30269898,7568717,30289678,7591100,30268982,7682417,30276186,7614078,33800000,43489309,33800000,43507704,33800000,43624747,33800000,43540586
33900,30354485,7588744,30370668,7609199,30345622,7699661,30356925,7632534,33900000,43616021,33900000,43637078,33900000,43752901,33900000,43668666
34000,30420021,7601254,30444864,7624586,30453865,7727374,30439583,7651071,34000000,43743649,34000000,43765414,34000000,43880876,34000000,43796646
34100,30523894,7628293,30534290,7645387,30545197,7751682,30534460,7675120,34100000,43868845,34100000,43896588,34100000,44006278,34100000,43923903
34200,30635799,7657317,30653209,7677704,30648371,7779542,30645793,7704854,34200000,43998156,34200000,44025430,34200000,44139930,34200000,44054505
34300,30725482,7681688,30744940,7706261,30752880,7810386,30741100,7732778,34300000,44128623,34300000,44152163,34300000,44271021,34300000,44183935
34400,30793081,7698074,30856609,7737192,30833866,7830900,30827852,7755388,34400000,44255417,34400000,44282403,34400000,44402004,34400000,44313274
34500,30882996,7719510,30933668,7759743,30908458,7851036,30908374,7776763,34500000,44381926,34500000,44410704,34500000,44532443,34500000,44441691
34600,30997102,7751164,31037770,7785640,31020871,7884635,31018581,7807146,34600000,44514481,34600000,44544426,34600000,44662202,34600000,44573703
34700,31088276,7775361,31122881,7809615,31097161,7903436,31102772,7829470,34700000,44649325,34700000,44676701,34700000,44790133,34700000,44705386
34800,31172442,7799135,31194197,7827798,31196768,7929425,31187802,7852119,34800000,44774480,34800000,44805331,34800000,44918699,34800000,44832836
34900,31288122,7831778,31277119,7850892,31245760,7936593,31270333,7873087,34900000,44901310,34900000,44931580,34900000,45046526,34900000,44959805
35000,31372054,7853452,31372850,7869655,31306317,7947782,31350407,7890296,35000000,45026380,35000000,45059359,35000000,45170738,35000000,45085492
35100,31452847,7869015,31444167,7886789,31419411,7972774,31438808,7909526,35100000,45152532,35100000,45185990,35100000,45297334,35100000,45211952
35200,31543804,7888873,31539355,7908603,31516112,7995125,31533090,7930867,35200000,45283612,35200000,45314951,35200000,45426845,35200000,45341802
35300,31629187,7909327,31639826,7932641,31632321,8027209,31633778,7956392,35300000,45410773,35300000,45446015,35300000,45552416,35300000,45469734
35400,31743778,7942007,31745769,7965144,31703444,8043418,31730997,7983523,35400000,45544661,35400000,45574669,35400000,45678884,35400000,45599404
35500,31837620,7971532,31841001,7989961,31819863,8072356,31832828,8011283,35500000,45679809,35500000,45703913,35500000,45810556,35500000,45731426
35600,31903501,7986290,31921620,8011239,31892391,8092751,31905837,8030093,35600000,45809817,35600000,45830791,35600000,45938074,35600000,45859560
35700,31999448,8010196,32006978,8029961,31968255,8111280,31991560,8050479,35700000,45938693,35700000,45961950,35700000,46061131,35700000,45987258
35800,32091862,8034665,32089166,8050425,32088956,8141549,32089994,8075546,35800000,46067880,35800000,46091579,35800000,46192960,35800000,46117473
35900,32187690,8061326,32180833,8073730,32179354,8163615,32182625,8099557,35900000,46201786,35900000,46230599,35900000,46324018,35900000,46252134
36000,32294298,8093550,32258951,8096574,32251655,8182263,32268301,8124129,36000000,46330534,36000000,46363617,36000000,46451179,36000000,46381776
36100,32379290,8115155,32346116,8121131,32377496,8215485,32367634,8150590,36100000,46458214,36100000,46493125,36100000,46583336,36100000,46511558
36200,32461254,8136744,32461550,8157294,32455010,8239110,32459271,8177716,36200000,46588860,36200000,46624621,36200000,46709682,36200000,46641054
36300,32581368,8177086,32541235,8178386,32534966,8257878,32552523,8204450,36300000,46723055,36300000,46751723,36300000,46836211,36300000,46770329
36400,32640917,8191337,32656371,8215868,32618074,8278381,32638454,8228528,36400000,46850533,36400000,46887028,36400000,46963823,36400000,46900461
36500,32710939,8203889,32732087,8233822,32716464,8297983,32719830,8245231,36500000,46972984,36500000,47012604,36500000,47094085,36500000,47026557
36600,32845215,8239505,32830459,8257280,32808069,8326737,32827914,8274507,36600000,47104490,36600000,47141972,36600000,47225368,36600000,47157276
36700,32937723,8263549,32899562,8272559,32918192,8356692,32918492,8297600,36700000,47233476,36700000,47271710,36700000,47357789,36700000,47287658
36800,33005237,8279433,32971004,8289657,33010952,8380031,32995731,8316373,36800000,47363766,36800000,47397255,36800000,47485442,36800000,47415487
36900,33134134,8319657,33088096,8320931,33081397,8397242,33101209,8345943,36900000,47498460,36900000,47525923,36900000,47615129,36900000,47546504
37000,33208791,8340675,33159317,8335988,33143684,8408801,33170597,8361821,37000000,47630181,37000000,47655195,37000000,47740860,37000000,47675412
37100,33290328,8358793,33243082,8357309,33266818,8443174,33266742,8386425,37100000,47762999,37100000,47783751,37100000,47874368,37100000,47807039
37200,33382444,8386856,33354317,8385066,33348065,8462408,33361608,8411443,37200000,47891401,37200000,47910405,37200000,48003246,37200000,47935017
37300,33467233,8406970,33449015,8410247,33420040,8480115,33445429,8432444,37300000,48019966,37300000,48040044,37300000,48133061,37300000,48064357
37400,33586637,8443864,33541549,8434810,33504694,8499474,33544293,8459382,37400000,48154010,37400000,48173856,37400000,48263376,37400000,48197080
37500,33675928,8470563,33628437,8457629,33606757,8527255,33637040,8485149,37500000,48285779,37500000,48302828,37500000,48395551,37500000,48328052
37600,33749842,8490451,33727599,8483279,33704713,8556231,33727384,8509987,37600000,48414984,37600000,48432609,37600000,48526309,37600000,48457967
37700,33841587,8512105,33788650,8495392,33777020,8575987,33802419,8527828,37700000,48544843,37700000,48556678,37700000,48652406,37700000,48584642
37800,33943821,8539987,33877310,8517261,33873321,8595873,33898150,8551040,37800000,48672869,37800000,48681436,37800000,48783127,37800000,48712477
37900,34013695,8556560,33986923,8543998,33957947,8619642,33986188,8573400,37900000,48802669,37900000,48810709,37900000,48914602,37900000,48842660
38000,34082254,8574162,34094120,8573944,34052428,8644858,34076267,8597654,38000000,48929550,38000000,48938775,38000000,49048566,38000000,48972297
38100,34157286,8587129,34182899,8597709,34137765,8666123,34159316,8616987,38100000,49057619,38100000,49070821,38100000,49174431,38100000,49100957
38200,34258074,8612813,34276468,8624756,34212680,8684824,34249074,8640797,38200000,49187904,38200000,49198670,38200000,49299740,38200000,49228771
38300,34363903,8639836,34359463,8642556,34333458,8718154,34352274,8666848,38300000,49317931,38300000,49327056,38300000,49428365,38300000,49357784
38400,34416691,8650107,34420129,8655478,34401832,8732111,34412884,8679232,38400000,49445164,38400000,49455759,38400000,49552963,38400000,49484628
38500,34550539,8690159,34503903,8673576,34504304,8757652,34519582,8707129,38500000,49574146,38500000,49584761,38500000,49683229,38500000,49614045
38600,34618213,8703854,34595636,8694105,34591940,8782775,34601929,8726911,38600000,49700258,38600000,49713478,38600000,49810726,38600000,49741487
38700,34697720,8723922,34674357,8712941,34681041,8802077,34684372,8746313,38700000,49829857,38700000,49841399,38700000,49938969,38700000,49870075
38800,34820220,8756742,34795711,8745558,34766217,8822348,34794049,8774882,38800000,49963592,38800000,49973300,38800000,50066380,38800000,50001090
38900,34897077,8775531,34903124,8778865,34877673,8853637,34892624,8802677,38900000,50089556,38900000,50105305,38900000,50197878,38900000,50130913
39000,34982530,8797941,34983350,8799857,34953321,8870375,34973067,8822724,39000000,50215593,39000000,50234746,39000000,50327115,39000000,50259151
39100,35066115,8817266,35081780,8826431,35034794,8887863,35060896,8843853,39100000,50342210,39100000,50366499,39100000,50452168,39100000,50386959
39200,35159307,8837982,35155910,8846490,35124275,8912167,35146497,8865546,39200000,50473499,39200000,50497139,39200000,50581622,39200000,50517420
39300,35243970,8858549,35259487,8874498,35221474,8934494,35241643,8889180,39300000,50601901,39300000,50629924,39300000,50708545,39300000,50646790
39400,35324205,8880009,35337882,8896413,35304380,8953133,35322155,8909851,39400000,50734492,39400000,50755269,39400000,50837025,39400000,50775595
39500,35410497,8900453,35410436,8911417,35377224,8970908,35399385,8927592,39500000,50861414,39500000,50882814,39500000,50961162,39500000,50901796
39600,35519914,8928525,35513805,8936333,35470796,8989921,35501505,8951593,39600000,50991066,39600000,51011550,39600000,51088692,39600000,51030436
39700,35572836,8939489,35573949,8949540,35630895,9040562,35592560,8976530,39700000,51116942,39700000,51135461,39700000,51218788,39700000,51157063
39800,35658115,8956303,35647219,8961333,35683295,9054238,35662876,8990624,39800000,51245021,39800000,51262345,39800000,51347736,39800000,51285034
39900,35734664,8973544,35734591,8979050,35760637,9071206,35743297,9007933,39900000,51369966,39900000,51388024,39900000,51475315,39900000,51411101
40000,35871565,9010650,35828536,8999061,35883102,9104558,35861067,9038089,40000000,51501156,40000000,51511643,40000000,51603745,40000000,51538848
40100,35948177,9029951,35927855,9021593,35955498,9119398,35943843,9056980,40100000,51631107,40100000,51639075,40100000,51732815,40100000,51667665
40200,36032572,9049187,35997391,9036107,36051975,9144384,36027312,9076559,40200000,51759891,40200000,51765704,40200000,51861059,40200000,51795551
40300,36123491,9076083,36076983,9052859,36121457,9157535,36107310,9095492,40300000,51887161,40300000,51892532,40300000,51986933,40300000,51922208
40400,36206517,9092560,36158377,9067706,36201271,9173311,36188721,9111192,40400000,52015583,40400000,52020248,40400000,52115397,40400000,52050409
40500,36333774,9130680,36279573,9103384,36273613,9190105,36295653,9141389,40500000,52150150,40500000,52149142,40500000,52243114,40500000,52180802
