n,Dynamic Programming Memoization,,,,,,,,Dynamic Programming Tabulation,,,,,,,
,Computation 1,Retrieval 1,Computation 2,Retrieval 2,Computation 3,Retrieval 3,Average Computation,Average Retrieval,Computation 1,Retrieval 1,Computation 2,Retrieval 2,Computation 3,Retrieval 3,Average Computation,Average Retrieval
8900,7818862,1920564,7821852,1917841,7804586,1912763,7815100,1917056,8900000,11455880,8900000,11446685,8900000,11456029,8900000,11452864
9000,7907020,1944526,7878970,1931065,7918091,1949820,7901360,1941803,9000000,11582830,9000000,11572320,9000000,11585156,9000000,11580102
9100,7979800,1962309,8006791,1964640,7997124,1969228,7994571,1965392,9100000,11707704,9100000,11707978,9100000,11710540,9100000,11708740
9200,8077508,1982851,8061588,1978638,8079676,1987831,8072924,1983106,9200000,11836157,9200000,11835615,9200000,11838079,9200000,11836617
9300,8165465,2005563,8156477,2000867,8153791,2003340,8158577,2003256,9300000,11968129,9300000,11964535,9300000,11961593,9300000,11964752
9400,8260341,2030481,8236539,2020938,8250248,2025952,8249042,2025790,9400000,12099668,9400000,12095199,9400000,12089742,9400000,12094869
9500,8334082,2049388,8340245,2049185,8381370,2059294,8351899,2052622,9500000,12224619,9500000,12225336,9500000,12224579,9500000,12224844
9600,8428010,2068772,8441938,2079965,8452184,2079786,8440710,2076174,9600000,12351298,9600000,12356131,9600000,12352270,9600000,12353233
9700,8519566,2092964,8517306,2097478,8541876,2100384,8526249,2096942,9700000,12482354,9700000,12483783,9700000,12480983,9700000,12482373
9800,8640908,2130508,8626037,2130548,8635120,2125744,8634021,2128933,9800000,12616593,9800000,12620367,9800000,12610722,9800000,12615894
9900,8717331,2154016,8700520,2148683,8743794,2159276,8720548,2153991,9900000,12742614,9900000,12748822,9900000,12746308,9900000,12745914
10000,8785545,2168044,8786669,2170550,8798127,2171507,8790113,2170033,10000000,12866624,10000000,12878457,10000000,12872554,10000000,12872545
10100,8870998,2183098,8900892,2203716,8917771,2203923,8896553,2196912,10100000,12994289,10100000,13010100,10100000,13006485,10100000,13003624
10200,8972288,2208504,8980301,2223747,9005928,2227237,8986172,2219829,10200000,13124855,10200000,13138903,10200000,13135034,10200000,13132930
10300,9054192,2226887,9049950,2236926,9110677,2257239,9071606,2240350,10300000,13252579,10300000,13264701,10300000,13267817,10300000,13261699
10400,9133076,2246978,9141665,2258307,9191540,2282002,9155427,2262429,10400000,13377304,10400000,13394587,10400000,13398434,10400000,13390108
10500,9219070,2264588,9204103,2271510,9300060,2315223,9241077,2283773,10500000,13507752,10500000,13515546,10500000,13532535,10500000,13518611
10600,9326165,2291744,9322039,2301390,9391453,2340943,9346552,2311359,10600000,13637452,10600000,13646514,10600000,13667271,10600000,13650412
10700,9410989,2315597,9412156,2322248,9460883,2360874,9428009,2332906,10700000,13767309,10700000,13776782,10700000,13797926,10700000,13780672
10800,9501045,2340504,9501283,2345701,9544549,2380114,9515625,2355439,10800000,13893706,10800000,13907793,10800000,13925880,10800000,13909126
10900,9600269,2364165,9588642,2366219,9626441,2400431,9605117,2376938,10900000,14021475,10900000,14034797,10900000,14055610,10900000,14037294
11000,9702205,2390115,9698213,2399108,9697321,2416651,9699246,2401958,11000000,14151947,11000000,14162781,11000000,14181190,11000000,14165306
